image,label
Dataset/2_241_gel.wav.png,gel
Dataset/2_580_voi.wav.png,voi
Dataset/0_214_pia_sax.wav.png,pia
Dataset/0_198_voi.wav.png,voi
Dataset/0_144_gel_voi.wav.png,gel
Dataset/2_613_pia_vio_voi.wav.png,pia
Dataset/0_496_flu_gac.wav.png,flu
Dataset/2_67_pia.wav.png,pia
Dataset/0_717_gel_org_sax.wav.png,gel
Dataset/0_592_flu_gel_pia.wav.png,flu
Dataset/0_552_voi.wav.png,voi
Dataset/2_714_gac_voi.wav.png,gac
Dataset/0_540_gel_pia.wav.png,gel
Dataset/2_472_gel.wav.png,gel
Dataset/0_93_pia_voi.wav.png,pia
Dataset/2_673_cla.wav.png,cla
Dataset/2_663_cla_vio.wav.png,cla
Dataset/0_509_gac_vio.wav.png,gac
Dataset/2_10_cel_vio.wav.png,cel
Dataset/2_283_pia.wav.png,pia
Dataset/0_597_flu_gel_pia_tru.wav.png,flu
Dataset/0_453_pia_sax_tru.wav.png,pia
Dataset/0_61_pia.wav.png,pia
Dataset/0_133_gac_org.wav.png,gac
Dataset/2_324_pia.wav.png,pia
Dataset/0_786_pia_sax_tru.wav.png,pia
Dataset/2_596_cla.wav.png,cla
Dataset/2_637_voi.wav.png,voi
Dataset/0_686_pia_tru.wav.png,pia
Dataset/2_624_pia_voi.wav.png,pia
Dataset/0_429_gac_voi.wav.png,gac
Dataset/2_559_voi.wav.png,voi
Dataset/2_142_gel_voi.wav.png,gel
Dataset/2_127_voi.wav.png,voi
Dataset/2_49_gel_org_voi.wav.png,gel
Dataset/0_253_pia.wav.png,pia
Dataset/0_237_gel_pia_sax.wav.png,gel
Dataset/0_695_pia.wav.png,pia
Dataset/0_77_pia.wav.png,pia
Dataset/2_240_gel_voi.wav.png,gel
Dataset/0_103_pia.wav.png,pia
Dataset/0_734_gel.wav.png,gel
Dataset/0_418_gel_org.wav.png,gel
Dataset/2_508_gel_org.wav.png,gel
Dataset/2_38_tru.wav.png,tru
Dataset/2_177_gel_voi.wav.png,gel
Dataset/2_351_pia.wav.png,pia
Dataset/2_649_org.wav.png,org
Dataset/0_689_pia.wav.png,pia
Dataset/0_97_pia_voi.wav.png,pia
Dataset/0_795_cla.wav.png,cla
Dataset/2_716_flu_gel_sax.wav.png,flu
Dataset/2_87_pia_sax_tru.wav.png,pia
Dataset/2_630_pia_voi.wav.png,pia
Dataset/0_218_pia_sax.wav.png,pia
Dataset/2_48_gel_org_voi.wav.png,gel
Dataset/2_386_pia.wav.png,pia
Dataset/2_305_vio.wav.png,vio
Dataset/2_17_gac_gel_voi.wav.png,gac
Dataset/0_417_gel_org.wav.png,gel
Dataset/0_581_gel.wav.png,gel
Dataset/0_720_gel_org_sax.wav.png,gel
Dataset/0_316_voi.wav.png,voi
Dataset/0_33_gel_voi.wav.png,gel
Dataset/2_357_pia.wav.png,pia
Dataset/0_704_gel_org.wav.png,gel
Dataset/2_346_pia.wav.png,pia
Dataset/0_147_gel_voi.wav.png,gel
Dataset/2_381_pia.wav.png,pia
Dataset/0_178_pia.wav.png,pia
Dataset/2_598_cla.wav.png,cla
Dataset/0_471_gac_vio.wav.png,gac
Dataset/2_51_org.wav.png,org
Dataset/0_461_sax.wav.png,sax
Dataset/0_230_pia_sax.wav.png,pia
Dataset/2_695_pia.wav.png,pia
Dataset/0_501_gac_vio.wav.png,gac
Dataset/2_212_sax.wav.png,sax
Dataset/0_124_pia_voi.wav.png,pia
Dataset/0_722_gel_org_sax.wav.png,gel
Dataset/0_365_gel_org_sax.wav.png,gel
Dataset/0_122_pia_voi.wav.png,pia
Dataset/2_288_flu_pia.wav.png,flu
Dataset/0_405_pia_sax.wav.png,pia
Dataset/0_589_gel_pia_tru.wav.png,gel
Dataset/0_696_pia.wav.png,pia
Dataset/2_66_pia.wav.png,pia
Dataset/0_213_pia_sax.wav.png,pia
Dataset/0_27_gel.wav.png,gel
Dataset/0_555_gel.wav.png,gel
Dataset/0_450_gel_voi.wav.png,gel
Dataset/2_407_gel_pia_voi.wav.png,gel
Dataset/0_612_gel_voi.wav.png,gel
Dataset/2_546_gel_voi.wav.png,gel
Dataset/0_16_gel_voi.wav.png,gel
Dataset/0_791_cla.wav.png,cla
Dataset/0_106_pia.wav.png,pia
Dataset/2_54_org.wav.png,org
Dataset/2_713_flu_gac_org_pia.wav.png,flu
Dataset/2_228_gel.wav.png,gel
Dataset/2_638_voi.wav.png,voi
Dataset/0_694_pia.wav.png,pia
Dataset/2_547_voi.wav.png,voi
Dataset/0_304_pia.wav.png,pia
Dataset/0_22_voi.wav.png,voi
Dataset/0_266_gel_org.wav.png,gel
Dataset/2_16_gac_gel.wav.png,gac
Dataset/0_480_gac_vio.wav.png,gac
Dataset/0_703_voi.wav.png,voi
Dataset/2_182_gel_org_voi.wav.png,gel
Dataset/2_527_pia_sax.wav.png,pia
Dataset/2_397_gel_org_voi.wav.png,gel
Dataset/2_415_sax.wav.png,sax
Dataset/0_609_gel_voi.wav.png,gel
Dataset/0_428_gac_voi.wav.png,gac
Dataset/2_263_flu_gac.wav.png,flu
Dataset/0_759_gel.wav.png,gel
Dataset/2_374_pia.wav.png,pia
Dataset/2_172_voi.wav.png,voi
Dataset/0_803_gac.wav.png,gac
Dataset/2_101_cla.wav.png,cla
Dataset/0_663_org_voi.wav.png,org
Dataset/0_419_gel_org.wav.png,gel
Dataset/2_526_pia.wav.png,pia
Dataset/2_505_gel_org_voi.wav.png,gel
Dataset/2_116_gac_gel.wav.png,gac
Dataset/2_664_vio.wav.png,vio
Dataset/0_187_pia_sax.wav.png,pia
Dataset/0_580_gel.wav.png,gel
Dataset/2_571_voi.wav.png,voi
Dataset/2_96_pia.wav.png,pia
Dataset/2_589_gac.wav.png,gac
Dataset/2_521_pia_sax.wav.png,pia
Dataset/0_775_pia_sax.wav.png,pia
Dataset/0_488_gac.wav.png,gac
Dataset/2_377_pia.wav.png,pia
Dataset/2_744_flu_gel.wav.png,flu
Dataset/2_704_gac_pia.wav.png,gac
Dataset/2_464_gel.wav.png,gel
Dataset/0_469_gac.wav.png,gac
Dataset/2_128_gel.wav.png,gel
Dataset/0_525_pia.wav.png,pia
Dataset/0_258_pia.wav.png,pia
Dataset/2_700_gac_voi.wav.png,gac
Dataset/2_254_flu_gac_voi.wav.png,flu
Dataset/0_670_pia_sax.wav.png,pia
Dataset/2_35_pia_tru.wav.png,pia
Dataset/0_301_pia.wav.png,pia
Dataset/2_761_gel_org.wav.png,gel
Dataset/2_335_pia.wav.png,pia
Dataset/2_363_pia.wav.png,pia
Dataset/2_253_flu_gac_voi.wav.png,flu
Dataset/2_149_pia_sax.wav.png,pia
Dataset/2_685_vio.wav.png,vio
Dataset/2_269_flu_gac.wav.png,flu
Dataset/0_104_pia.wav.png,pia
Dataset/0_331_cel_vio_voi.wav.png,cel
Dataset/2_515_gel_org.wav.png,gel
Dataset/0_714_gel_org_sax.wav.png,gel
Dataset/0_52_gac_voi.wav.png,gac
Dataset/2_731_gac_gel.wav.png,gac
Dataset/2_336_pia.wav.png,pia
Dataset/2_601_cla.wav.png,cla
Dataset/2_303_vio.wav.png,vio
Dataset/2_632_gel.wav.png,gel
Dataset/2_63_voi.wav.png,voi
Dataset/2_328_pia.wav.png,pia
Dataset/2_47_gel_org_voi.wav.png,gel
Dataset/2_311_vio.wav.png,vio
Dataset/0_44_cel_gel.wav.png,cel
Dataset/2_599_cla.wav.png,cla
Dataset/0_711_gel_org.wav.png,gel
Dataset/0_289_gac_gel_sax_tru.wav.png,gac
Dataset/2_682_vio.wav.png,vio
Dataset/2_542_gel.wav.png,gel
Dataset/2_550_gel_org.wav.png,gel
Dataset/0_250_pia.wav.png,pia
Dataset/0_598_flu_gel_pia_tru.wav.png,flu
Dataset/2_81_pia_tru.wav.png,pia
Dataset/0_732_gel_voi.wav.png,gel
Dataset/2_711_flu_gac_pia.wav.png,flu
Dataset/0_303_pia.wav.png,pia
Dataset/2_492_gac_voi.wav.png,gac
Dataset/2_447_voi.wav.png,voi
Dataset/0_373_gel_sax.wav.png,gel
Dataset/2_236_gel_voi.wav.png,gel
Dataset/2_318_vio.wav.png,vio
Dataset/0_774_pia_sax.wav.png,pia
Dataset/0_296_gac_gel_sax_tru.wav.png,gac
Dataset/2_493_gac.wav.png,gac
Dataset/0_151_gel.wav.png,gel
Dataset/2_78_pia.wav.png,pia
Dataset/0_181_pia.wav.png,pia
Dataset/0_261_pia_sax.wav.png,pia
Dataset/0_688_pia_sax.wav.png,pia
Dataset/0_183_pia_sax.wav.png,pia
Dataset/0_293_gac_gel_sax_tru.wav.png,gac
Dataset/0_255_pia_sax.wav.png,pia
Dataset/0_675_pia.wav.png,pia
Dataset/2_507_gel_org.wav.png,gel
Dataset/2_662_vio.wav.png,vio
Dataset/0_32_gel_org_voi.wav.png,gel
Dataset/0_127_pia.wav.png,pia
Dataset/0_414_pia_sax.wav.png,pia
